,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,hundred,fifties,duck,fours,sixes
1412,A Mishra (INDIA),2016-2017,3,1,0,0,0,0,0,-,0,0,1,0,0
1413,Mohameed Taiwo (NGA),2019-2019,2,1,1,0,0*,-,0,-,0,0,0,0,0
1414,Mohammad Ayaz (UAE),2020-2020,1,1,0,0,0,0,2,0,0,0,1,0,0
1415,VV Morea (PNG),2017-2017,1,1,0,0,0,0,3,0,0,0,1,0,0
1416,Musawar Shah (QAT),2019-2020,4,1,1,0,0*,-,0,-,0,0,0,0,0
1417,Musa Shaheen (DEN),2019-2019,1,1,0,0,0,0,3,0,0,0,1,0,0
1418,T Muzarabani (ZIM),2016-2016,2,1,1,0,0*,-,2,0,0,0,0,0,0
1419,Naveed Fakhr (KUW),2020-2020,1,1,1,0,0*,-,0,-,0,0,0,0,0
1420,Navid Abdollahpour (Iran),2020-2020,2,1,1,0,0*,-,2,0,0,0,0,0,0
1421,Nawaf Ahmed (KUW),2019-2019,1,1,1,0,0*,-,0,-,0,0,0,0,0
1422,Noor Momand (Belg),2019-2019,2,1,1,0,0*,-,0,-,0,0,0,0,0
1423,L Nussbaumer (GUE),2019-2019,1,1,0,0,0,0,1,0,0,0,1,0,0
1424,A Orfila (GIBR),2019-2019,1,1,0,0,0,0,2,0,0,0,1,0,0
1425,T Phaswana (Botsw),2019-2019,1,1,0,0,0,0,3,0,0,0,1,0,0
1426,Qais Ahmad (AFG),2020-2020,1,1,1,0,0*,-,0,-,0,0,0,0,0
1427,Rahman Ademi (Serb),2019-2019,2,1,1,0,0*,-,4,0,0,0,0,0,0
1428,R Rivas (Chile),2019-2019,3,1,0,0,0,0,1,0,0,0,1,0,0
1429,RR Rossouw (SA),2016-2016,1,1,0,0,0,0,2,0,0,0,1,0,0
1430,Rumman Raees (PAK),2016-2018,8,1,1,0,0*,-,0,-,0,0,0,0,0
1431,HD Rutherford (NZ),2019-2019,1,1,0,0,0,0,1,0,0,0,1,0,0
1432,Sajid Liaqat (GER),2019-2019,2,1,1,0,0*,-,0,-,0,0,0,0,0
1433,I Sawmy (DEN),2019-2019,2,2,1,0,0*,0,2,0,0,0,1,0,0
1434,B Shikongo (NAM),2019-2019,11,1,0,0,0,0,1,0,0,0,1,0,0
1435,BA Simango (Moz),2019-2019,2,1,0,0,0,0,2,0,0,0,1,0,0
1436,M Simmons (BMUDA),2019-2019,2,1,0,0,0,0,2,0,0,0,1,0,0
1437,M Simpson-Parker (Aut),2019-2019,3,1,0,0,0,0,2,0,0,0,1,0,0
1438,S Singh (PORT),2019-2019,1,1,0,0,0,0,9,0,0,0,1,0,0
1439,S Soosiyakumar (BUL),2019-2019,1,1,0,0,0,0,2,0,0,0,1,0,0
1440,ES Soto (CRC),2019-2019,1,1,0,0,0,0,2,0,0,0,1,0,0
1441,L Sreekumar (UAE),2017-2017,1,1,0,0,0,0,1,0,0,0,1,0,0
1442,H Ssenyondo (UGA),2019-2020,7,1,1,0,0*,-,0,-,0,0,0,0,0
1443,Taijul Islam (BDESH),2019-2019,2,1,1,0,0*,-,1,0,0,0,0,0,0
1444,Usman Shinwari (PAK),2017-2019,14,2,2,0,0*,-,0,-,0,0,0,0,0
1445,BTJ Wheal (SCOT),2017-2017,3,1,1,0,0*,-,0,-,0,0,0,0,0
1446,Ziaur Rehman (Fin),2019-2019,1,1,0,0,0,0,4,0,0,0,1,0,0
1447,Zulqarnain Haider (ESP),2019-2019,5,1,0,0,0,0,0,-,0,0,1,0,0
1448,KJ Abbott (SA),2016-2016,3,-,-,-,-,-,-,-,-,-,-,-,-
1449,Abdul Rahman (Aut),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,-
1450,RA Abolarin (NGA),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1451,Ahmed Raid (Mald),2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-
1452,NN Akhter (MLT),2020-2020,3,-,-,-,-,-,-,-,-,-,-,-,-
1453,AD Algar (ESP),2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-
1454,A Anemogiannis (),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1455,JC Archer (ENG),2019-2021,10,-,-,-,-,-,-,-,-,-,-,-,-
1456,Atif Ali Khan (UAE),2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-
1457,JT Ball (ENG),2018-2018,2,-,-,-,-,-,-,-,-,-,-,-,-
1458,S Bantzas (),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1459,D Bau (PNG),2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,-
1460,JP Behrendorff (AUS),2017-2019,7,-,-,-,-,-,-,-,-,-,-,-,-
1461,SJ Benn (WI),2016-2016,5,-,-,-,-,-,-,-,-,-,-,-,-
1462,SVE Bharathi (GER),2020-2020,2,-,-,-,-,-,-,-,-,-,-,-,-
1463,LT Bichard (GUE),2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-
1464,STR Binny (INDIA),2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-
1465,CC Blake (VAN),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,-
1466,SM Boland (AUS),2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-
1467,M Breban (GUE),2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-
1468,J Butler (IOM),2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-
1469,RD Chahar (INDIA),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1470,N Chejay (BHU),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1471,C Chete (MWI),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1472,PD Collingwood (World),2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,-
1473,MS Crane (ENG),2017-2017,2,-,-,-,-,-,-,-,-,-,-,-,-
1474,V Dikov (BUL),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,-
1475,K Dorji (BHU),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1476,JA Duffy (NZ),2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-
1477,BT Foakes (ENG),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1478,O Fournier (CRC),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1479,R Frylinck (SA),2017-2018,3,-,-,-,-,-,-,-,-,-,-,-,-
1480,Garret Banner (Blz),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1481,S Goud (CZK-R),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1482,Hamid Hashemi (Iran),2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-
1483,Hamid Hassan (AFG),2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-
1484,Hamza Tahir (SCOT),2018-2019,11,-,-,-,-,-,-,-,-,-,-,-,-
1485,Hasan Mahmud (BDESH),2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-
1486,Hashmatullah Shahidi (AFG),2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-
1487,Hassan Khan Mohammad (HKG),2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-
1488,RJ Hatchman (GIBR),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1489,JR Hazlewood (AUS),2016-2020,4,-,-,-,-,-,-,-,-,-,-,-,-
1490,MJ Henry (NZ),2017-2017,1,-,-,-,-,-,-,-,-,-,-,-,-
1491,J Hurley (Arg),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,-
1492,Ibrahim Khan (Saudi),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1493,Imran Ashraf (QAT),2019-2020,4,-,-,-,-,-,-,-,-,-,-,-,-
1494,D Jakiel (ZIM),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1495,GJ Joseph (Blz),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1496,B Karki (NEPAL),2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-
1497,S Kaul (INDIA),2018-2019,3,-,-,-,-,-,-,-,-,-,-,-,-
1498,UKPW Kumaranayaka (KUW),2019-2020,7,-,-,-,-,-,-,-,-,-,-,-,-
1499,DSK Madushanka (SL),2018-2018,2,-,-,-,-,-,-,-,-,-,-,-,-
1500,M Markande (INDIA),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1501,JC Martin (GUE),2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-
1502,WT Mashinge (ZIM),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1503,NSK Mehta (Belg),2020-2020,4,-,-,-,-,-,-,-,-,-,-,-,-
1504,RP Meredith (AUS),2021-2021,3,-,-,-,-,-,-,-,-,-,-,-,-
1505,Mihusan Hamid (Mald),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1506,D Mogan (MAL),2020-2020,2,-,-,-,-,-,-,-,-,-,-,-,-
1507,Mohammad Irfan (PAK),2016-2019,4,-,-,-,-,-,-,-,-,-,-,-,-
1508,Mohammed Shami (INDIA),2016-2020,8,-,-,-,-,-,-,-,-,-,-,-,-
1509,Mohammed Siraj (INDIA),2017-2018,3,-,-,-,-,-,-,-,-,-,-,-,-
1510,Mohsin Khan (HKG),2020-2020,3,-,-,-,-,-,-,-,-,-,-,-,-
1511,Muhammad Amir (MAL),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1512,Muhammad Musa (PAK),2019-2020,2,-,-,-,-,-,-,-,-,-,-,-,-
1513,Mukhtiar Singh (ESP),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1514,M Mwamadi (MWI),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,-
1515,M Nandela (Mex),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1516,T Natarajan (INDIA),2020-2020,3,-,-,-,-,-,-,-,-,-,-,-,-
1517,NH Naureen (ESP),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1518,Nawazish Jezuli (Saudi),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1519,A Nehra (INDIA),2016-2017,8,-,-,-,-,-,-,-,-,-,-,-,-
1520,A Neill (SCOT),2019-2019,5,-,-,-,-,-,-,-,-,-,-,-,-
1521,R Ngarava (ZIM),2019-2021,4,-,-,-,-,-,-,-,-,-,-,-,-
1522,TW Nightingale (GUE),2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-
1523,G Nikitas (),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1524,F Nkhoma (MWI),2019-2019,4,-,-,-,-,-,-,-,-,-,-,-,-
1525,E Ochieng (KENYA),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1526,RJG Palmer (JER),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1527,MW Parkinson (ENG),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1528,AY Patel (NZ),2018-2018,2,-,-,-,-,-,-,-,-,-,-,-,-
1529,V Permaul (WI),2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-
1530,R Pisal (ROM),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1531,Qadeer Ahmed (UAE),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1532,S Qeshile (SA),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1533,Raja Adeel (ESP),2019-2020,5,-,-,-,-,-,-,-,-,-,-,-,-
1534,Rashid Khan (NEPAL),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1535,KA Reynolds (Blz),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,-
1536,AK Sah (NEPAL),2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-
1537,Saqlain Sajib (BDESH),2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-
1538,Sayed Shirzad (AFG),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1539,K Senamontree (THAI),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1540,Shaffeq Muhammad (),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1541,R Shepherd (WI),2020-2020,3,-,-,-,-,-,-,-,-,-,-,-,-
1542,NK Shetty (Mex),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1543,S Singh (PHI),2019-2019,4,-,-,-,-,-,-,-,-,-,-,-,-
1544,Soheel Hussain (Belg),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1545,BB Sran (INDIA),2016-2016,2,-,-,-,-,-,-,-,-,-,-,-,-
1546,H Srinivasan (GER),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1547,TJ Stephenson (Blz),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1548,GA Stuurman (SA),2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-
1549,K Subramanian (SGP),2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-
1550,P Syafiq Ali (MAL),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1551,J Thinley (BHU),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1552,RJW Topley (ENG),2016-2016,1,-,-,-,-,-,-,-,-,-,-,-,-
1553,CK Tshuma (ZIM),2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-
1554,JD Unadkat (INDIA),2016-2018,10,-,-,-,-,-,-,-,-,-,-,-,-
1555,S Vats (LUX),2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-
1556,Vimal Kumar (PHI),2019-2019,2,-,-,-,-,-,-,-,-,-,-,-,-
1557,Vishal Ahir (PNM),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1558,Waqar Abbasi (ROM),2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-
1559,Waqas Maqsood (PAK),2018-2018,1,-,-,-,-,-,-,-,-,-,-,-,-
1560,SG Whittingham (SCOT),2018-2018,3,-,-,-,-,-,-,-,-,-,-,-,-
1561,SA Yadav (INDIA),2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-
1562,Zahid Mahmood (PAK),2021-2021,1,-,-,-,-,-,-,-,-,-,-,-,-
1563,S Zargar (Mex),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
1564,Zeeshan Khan (MLT),2020-2020,1,-,-,-,-,-,-,-,-,-,-,-,-
1565,Zeshan Arif (Aut),2019-2019,3,-,-,-,-,-,-,-,-,-,-,-,-
1566,Ziaur Rahman (AFG),2019-2019,1,-,-,-,-,-,-,-,-,-,-,-,-
